distiller_id,scan_number,nersc_write_time,ncem_created_time,time_difference_seconds
3730,4227,2023-10-13 13:42:58,2023-10-13 13:42:28,30.0
3731,4228,2023-10-13 13:43:48,2023-10-13 13:43:23,25.0
3732,4229,2023-10-13 13:44:44,2023-10-13 13:44:18,26.0
3733,4230,2023-10-13 13:45:40,2023-10-13 13:45:13,27.0
3735,4231,2023-10-13 13:46:33,2023-10-13 13:46:08,25.0
3736,4232,2023-10-13 13:47:29,2023-10-13 13:47:03,26.0
3737,4233,2023-10-13 13:48:25,2023-10-13 13:47:58,27.0
3738,4234,2023-10-13 13:49:18,2023-10-13 13:48:53,25.0
3739,4235,2023-10-13 13:50:13,2023-10-13 13:49:48,25.0
3740,4236,2023-10-13 13:51:08,2023-10-13 13:50:43,25.0
3741,4237,2023-10-13 13:52:03,2023-10-13 13:51:38,25.0
3742,4238,2023-10-13 13:52:56,2023-10-13 13:52:33,23.0
3743,4239,2023-10-13 13:53:52,2023-10-13 13:53:28,24.0
3744,4240,2023-10-13 13:54:50,2023-10-13 13:54:23,27.0
3745,4241,2023-10-13 13:55:42,2023-10-13 13:55:18,24.0
3746,4242,2023-10-13 13:56:37,2023-10-13 13:56:13,24.0
3747,4243,2023-10-13 13:57:32,2023-10-13 13:57:08,24.0
3748,4244,2023-10-13 13:58:50,2023-10-13 13:58:03,47.0
3749,4245,2023-10-13 13:59:24,2023-10-13 13:58:58,26.0
3750,4246,2023-10-13 14:00:18,2023-10-13 13:59:53,25.0
3751,4247,2023-10-13 14:01:11,2023-10-13 14:00:48,23.0
3752,4248,2023-10-13 14:02:06,2023-10-13 14:01:43,23.0
3753,4249,2023-10-13 14:03:03,2023-10-13 14:02:38,25.0
3754,4250,2023-10-13 14:03:58,2023-10-13 14:03:33,25.0
3755,4251,2023-10-13 14:04:53,2023-10-13 14:04:28,25.0
3756,4252,2023-10-13 14:05:48,2023-10-13 14:05:23,25.0
3757,4253,2023-10-13 14:06:42,2023-10-13 14:06:18,24.0
3758,4254,2023-10-13 14:07:40,2023-10-13 14:07:13,27.0
3759,4255,2023-10-13 14:08:35,2023-10-13 14:08:08,27.0
3760,4256,2023-10-13 14:09:28,2023-10-13 14:09:03,25.0
3761,4257,2023-10-13 14:10:24,2023-10-13 14:09:58,26.0
3762,4258,2023-10-13 14:11:20,2023-10-13 14:10:53,27.0
3763,4259,2023-10-13 14:12:13,2023-10-13 14:11:48,25.0
3764,4260,2023-10-13 14:13:09,2023-10-13 14:12:43,26.0
3765,4261,2023-10-13 14:14:03,2023-10-13 14:13:38,25.0
3766,4262,2023-10-13 14:14:58,2023-10-13 14:14:33,25.0
3767,4263,2023-10-13 14:15:53,2023-10-13 14:15:28,25.0
3768,4264,2023-10-13 14:16:48,2023-10-13 14:16:23,25.0
3769,4265,2023-10-13 14:17:44,2023-10-13 14:17:18,26.0
3770,4266,2023-10-13 14:18:38,2023-10-13 14:18:13,25.0
3771,4267,2023-10-13 14:19:36,2023-10-13 14:19:08,28.0
3772,4268,2023-10-13 14:20:28,2023-10-13 14:20:03,25.0
3773,4269,2023-10-13 14:21:22,2023-10-13 14:20:58,24.0
3774,4270,2023-10-13 14:22:17,2023-10-13 14:21:53,24.0
3775,4271,2023-10-13 14:23:12,2023-10-13 14:22:48,24.0
3776,4272,2023-10-13 14:24:07,2023-10-13 14:23:43,24.0
3777,4273,2023-10-13 14:25:04,2023-10-13 14:24:38,26.0
3778,4274,2023-10-13 14:25:59,2023-10-13 14:25:33,26.0
3779,4275,2023-10-13 14:26:54,2023-10-13 14:26:28,26.0
3780,4276,2023-10-13 14:28:02,2023-10-13 14:27:23,39.0
3781,4277,2023-10-13 14:28:44,2023-10-13 14:28:19,25.0
3782,4278,2023-10-13 14:29:38,2023-10-13 14:29:13,25.0
3783,4279,2023-10-13 14:30:33,2023-10-13 14:30:08,25.0
3784,4280,2023-10-13 14:31:28,2023-10-13 14:31:03,25.0
3785,4281,2023-10-13 14:32:22,2023-10-13 14:31:59,23.0
3786,4282,2023-10-13 14:33:18,2023-10-13 14:32:53,25.0
3787,4283,2023-10-13 14:34:13,2023-10-13 14:33:48,25.0
3788,4284,2023-10-13 14:35:08,2023-10-13 14:34:44,24.0
3789,4285,2023-10-13 14:36:02,2023-10-13 14:35:39,23.0
3790,4286,2023-10-13 14:36:59,2023-10-13 14:36:34,25.0
3791,4287,2023-10-13 14:37:52,2023-10-13 14:37:29,23.0
3792,4288,2023-10-13 14:38:54,2023-10-13 14:38:24,30.0
3793,4289,2023-10-13 14:39:42,2023-10-13 14:39:19,23.0
3794,4290,2023-10-13 14:40:37,2023-10-13 14:40:14,23.0
3795,4291,2023-10-13 14:41:32,2023-10-13 14:41:09,23.0
3797,4292,2023-10-13 14:42:28,2023-10-13 14:42:04,24.0
3798,4293,2023-10-13 14:44:02,2023-10-13 14:42:59,63.0
3799,4294,2023-10-13 14:44:17,2023-10-13 14:43:54,23.0
3800,4295,2023-10-13 14:45:13,2023-10-13 14:44:49,24.0
3801,4296,2023-10-13 14:46:07,2023-10-13 14:45:44,23.0
3802,4297,2023-10-13 14:47:02,2023-10-13 14:46:39,23.0
3803,4298,2023-10-13 14:47:58,2023-10-13 14:47:34,24.0
3804,4299,2023-10-13 14:48:53,2023-10-13 14:48:29,24.0
3805,4300,2023-10-13 14:49:48,2023-10-13 14:49:24,24.0
3806,4301,2023-10-13 14:50:42,2023-10-13 14:50:19,23.0
3807,4302,2023-10-13 14:51:37,2023-10-13 14:51:14,23.0
3808,4303,2023-10-13 14:52:32,2023-10-13 14:52:09,23.0
3809,4304,2023-10-13 14:53:29,2023-10-13 14:53:04,25.0
3810,4305,2023-10-13 14:54:24,2023-10-13 14:53:59,25.0
3811,4306,2023-10-13 14:55:19,2023-10-13 14:54:54,25.0
3812,4307,2023-10-13 14:56:13,2023-10-13 14:55:49,24.0
3813,4308,2023-10-13 14:57:08,2023-10-13 14:56:44,24.0
3814,4309,2023-10-13 14:58:02,2023-10-13 14:57:39,23.0
3815,4310,2023-10-13 14:58:58,2023-10-13 14:58:34,24.0
3816,4311,2023-10-13 14:59:53,2023-10-13 14:59:29,24.0
3817,4312,2023-10-13 15:00:47,2023-10-13 15:00:24,23.0
3818,4313,2023-10-13 15:01:43,2023-10-13 15:01:19,24.0
3820,4314,2023-10-13 15:02:38,2023-10-13 15:02:14,24.0
3821,4315,2023-10-13 15:03:33,2023-10-13 15:03:09,24.0
3822,4316,2023-10-13 15:04:29,2023-10-13 15:04:04,25.0
3823,4317,2023-10-13 15:05:23,2023-10-13 15:04:59,24.0
3824,4318,2023-10-13 15:06:18,2023-10-13 15:05:54,24.0
3825,4319,2023-10-13 15:07:14,2023-10-13 15:06:49,25.0
3826,4320,2023-10-13 15:08:13,2023-10-13 15:07:44,29.0
3827,4321,2023-10-13 15:09:06,2023-10-13 15:08:39,27.0
3828,4322,2023-10-13 15:10:00,2023-10-13 15:09:34,26.0
3829,4323,2023-10-13 15:10:55,2023-10-13 15:10:29,26.0
3830,4324,2023-10-13 15:11:49,2023-10-13 15:11:24,25.0
3831,4325,2023-10-13 15:12:45,2023-10-13 15:12:19,26.0
3832,4326,2023-10-13 15:13:38,2023-10-13 15:13:14,24.0
3833,4327,2023-10-13 15:14:34,2023-10-13 15:14:09,25.0
3834,4328,2023-10-13 15:15:29,2023-10-13 15:15:04,25.0
3835,4329,2023-10-13 15:16:23,2023-10-13 15:15:59,24.0
3836,4330,2023-10-13 15:17:18,2023-10-13 15:16:54,24.0
3837,4331,2023-10-13 15:18:15,2023-10-13 15:17:49,26.0
3838,4332,2023-10-13 15:19:08,2023-10-13 15:18:44,24.0
3839,4333,2023-10-13 15:20:03,2023-10-13 15:19:39,24.0
3840,4334,2023-10-13 15:20:57,2023-10-13 15:20:34,23.0
3841,4335,2023-10-13 15:21:53,2023-10-13 15:21:29,24.0
3842,4336,2023-10-13 15:22:48,2023-10-13 15:22:24,24.0
3844,4337,2023-10-13 15:23:43,2023-10-13 15:23:19,24.0
3845,4338,2023-10-13 15:24:38,2023-10-13 15:24:14,24.0
3846,4339,2023-10-13 15:25:33,2023-10-13 15:25:09,24.0
3847,4340,2023-10-13 15:26:27,2023-10-13 15:26:04,23.0
3848,4341,2023-10-13 15:27:24,2023-10-13 15:26:59,25.0
3849,4342,2023-10-13 15:28:21,2023-10-13 15:27:54,27.0
3850,4343,2023-10-13 15:29:15,2023-10-13 15:28:49,26.0
3851,4344,2023-10-13 15:30:09,2023-10-13 15:29:44,25.0
3852,4345,2023-10-13 15:31:03,2023-10-13 15:30:39,24.0
3853,4346,2023-10-13 15:31:58,2023-10-13 15:31:34,24.0
3854,4347,2023-10-13 15:32:54,2023-10-13 15:32:29,25.0
3855,4348,2023-10-13 15:33:53,2023-10-13 15:33:24,29.0
3856,4349,2023-10-13 15:34:45,2023-10-13 15:34:19,26.0
3857,4350,2023-10-13 15:35:42,2023-10-13 15:35:14,28.0
3858,4351,2023-10-13 15:36:35,2023-10-13 15:36:09,26.0
3859,4352,2023-10-13 15:37:32,2023-10-13 15:37:04,28.0
3860,4353,2023-10-13 15:38:23,2023-10-13 15:37:59,24.0
3861,4354,2023-10-13 15:39:19,2023-10-13 15:38:54,25.0
3862,4355,2023-10-13 15:40:13,2023-10-13 15:39:49,24.0
3863,4356,2023-10-13 15:47:40,2023-10-13 15:47:15,25.0
3864,4357,2023-10-13 15:48:33,2023-10-13 15:48:10,23.0
3865,4358,2023-10-13 15:49:28,2023-10-13 15:49:05,23.0
3866,4359,2023-10-13 15:50:24,2023-10-13 15:50:00,24.0
3867,4360,2023-10-13 15:51:21,2023-10-13 15:50:55,26.0
3868,4361,2023-10-13 15:52:16,2023-10-13 15:51:50,26.0
3869,4362,2023-10-13 15:53:09,2023-10-13 15:52:45,24.0
3870,4363,2023-10-13 15:54:04,2023-10-13 15:53:40,24.0
3871,4364,2023-10-13 15:55:00,2023-10-13 15:54:35,25.0
3872,4365,2023-10-13 15:55:56,2023-10-13 15:55:30,26.0
3873,4366,2023-10-13 15:56:52,2023-10-13 15:56:25,27.0
3874,4367,2023-10-13 15:57:49,2023-10-13 15:57:20,29.0
3875,4368,2023-10-13 15:58:41,2023-10-13 15:58:15,26.0
3876,4369,2023-10-13 15:59:35,2023-10-13 15:59:10,25.0
3877,4370,2023-10-13 16:00:31,2023-10-13 16:00:05,26.0
3878,4371,2023-10-13 16:01:24,2023-10-13 16:01:00,24.0
3879,4372,2023-10-13 16:02:20,2023-10-13 16:01:55,25.0
3880,4373,2023-10-13 16:03:15,2023-10-13 16:02:50,25.0
3881,4374,2023-10-13 16:04:10,2023-10-13 16:03:45,25.0
3882,4375,2023-10-13 16:05:05,2023-10-13 16:04:40,25.0
3883,4376,2023-10-13 16:06:00,2023-10-13 16:05:35,25.0
3884,4377,2023-10-13 16:06:53,2023-10-13 16:06:30,23.0
3885,4378,2023-10-13 16:07:49,2023-10-13 16:07:25,24.0
3886,4379,2023-10-13 16:08:45,2023-10-13 16:08:20,25.0
3887,4380,2023-10-13 16:09:39,2023-10-13 16:09:15,24.0
3888,4381,2023-10-13 16:10:35,2023-10-13 16:10:10,25.0
3889,4382,2023-10-13 16:11:31,2023-10-13 16:11:05,26.0
3890,4383,2023-10-13 16:12:26,2023-10-13 16:12:00,26.0
3891,4384,2023-10-13 16:13:20,2023-10-13 16:12:55,25.0
3892,4385,2023-10-13 16:14:14,2023-10-13 16:13:50,24.0
3893,4386,2023-10-13 16:15:11,2023-10-13 16:14:45,26.0
3894,4387,2023-10-13 16:16:04,2023-10-13 16:15:40,24.0
3895,4388,2023-10-13 16:16:59,2023-10-13 16:16:35,24.0
3896,4389,2023-10-13 16:17:55,2023-10-13 16:17:30,25.0
3897,4390,2023-10-13 16:18:49,2023-10-13 16:18:25,24.0
3898,4391,2023-10-13 16:19:44,2023-10-13 16:19:20,24.0
3899,4392,2023-10-13 16:20:42,2023-10-13 16:20:15,27.0
3900,4393,2023-10-13 16:21:35,2023-10-13 16:21:10,25.0
3901,4394,2023-10-13 16:22:31,2023-10-13 16:22:05,26.0
3902,4395,2023-10-13 16:23:25,2023-10-13 16:23:00,25.0
3903,4396,2023-10-13 16:24:19,2023-10-13 16:23:55,24.0
3904,4397,2023-10-13 16:25:14,2023-10-13 16:24:50,24.0
3905,4398,2023-10-13 16:26:11,2023-10-13 16:25:45,26.0
3906,4399,2023-10-13 16:27:05,2023-10-13 16:26:40,25.0
3907,4400,2023-10-13 16:28:05,2023-10-13 16:27:35,30.0
3908,4401,2023-10-13 16:28:55,2023-10-13 16:28:30,25.0
3910,4402,2023-10-13 16:29:57,2023-10-13 16:29:25,32.0
3911,4403,2023-10-13 16:30:47,2023-10-13 16:30:20,27.0
3912,4404,2023-10-13 16:31:43,2023-10-13 16:31:15,28.0
3913,4405,2023-10-13 16:34:52,2023-10-13 16:34:23,29.0
3914,4406,2023-10-13 16:35:44,2023-10-13 16:35:18,26.0
3915,4407,2023-10-13 16:36:39,2023-10-13 16:36:13,26.0
3916,4408,2023-10-13 16:37:33,2023-10-13 16:37:09,24.0
3917,4409,2023-10-13 16:38:33,2023-10-13 16:38:04,29.0
3918,4410,2023-10-13 16:39:24,2023-10-13 16:38:59,25.0
3919,4411,2023-10-13 16:40:19,2023-10-13 16:39:54,25.0
3920,4412,2023-10-13 16:41:13,2023-10-13 16:40:49,24.0
3921,4413,2023-10-13 16:42:08,2023-10-13 16:41:44,24.0
3922,4414,2023-10-13 16:43:02,2023-10-13 16:42:39,23.0
3923,4415,2023-10-13 16:43:58,2023-10-13 16:43:34,24.0
3924,4416,2023-10-13 16:44:54,2023-10-13 16:44:29,25.0
3925,4417,2023-10-13 16:45:51,2023-10-13 16:45:24,27.0
3926,4418,2023-10-13 16:46:44,2023-10-13 16:46:19,25.0
3927,4419,2023-10-13 16:47:42,2023-10-13 16:47:14,28.0
3928,4420,2023-10-13 16:48:34,2023-10-13 16:48:09,25.0
3929,4421,2023-10-13 16:49:32,2023-10-13 16:49:04,28.0
3930,4422,2023-10-13 16:50:25,2023-10-13 16:49:59,26.0
3931,4423,2023-10-13 16:51:20,2023-10-13 16:50:54,26.0
3932,4424,2023-10-13 16:52:13,2023-10-13 16:51:49,24.0
3933,4425,2023-10-13 16:53:08,2023-10-13 16:52:44,24.0
3934,4426,2023-10-13 16:54:03,2023-10-13 16:53:39,24.0
3935,4427,2023-10-13 16:54:58,2023-10-13 16:54:34,24.0
3936,4428,2023-10-13 16:55:54,2023-10-13 16:55:29,25.0
3937,4429,2023-10-13 16:56:50,2023-10-13 16:56:24,26.0
3938,4430,2023-10-13 16:57:42,2023-10-13 16:57:19,23.0
3939,4431,2023-10-13 16:58:38,2023-10-13 16:58:14,24.0
3940,4432,2023-10-13 16:59:33,2023-10-13 16:59:09,24.0
3941,4433,2023-10-13 17:00:28,2023-10-13 17:00:04,24.0
3942,4434,2023-10-13 17:01:25,2023-10-13 17:00:59,26.0
